codevalue,valuelabel
29.0201,"Intelligence, General"
29.0202,Strategic Intelligence
29.0203,Signal/Geospatial Intelligence
29.0204,"Command & Control (C3, C4I Systems and Operations)"
29.0206,Information/Psychological Warfare and Military Media Relations
29.0207,Cyber/Electronic Operations and Warfare
29.0299,"Intelligence, Command Control and Information Operations, Other"
29.0301,Combat Systems Engineering
29.0303,Engineering Acoustics
29.0307,Undersea Warfare
29.0399,"Military Applied Sciences, Other"
29.0402,Air and Space Operations Technology
29.0404,Explosive Ordinance/Bomb Disposal
29.0405,"Joint Command/Task Force (C3, C4I Systems)"
29.0408,Munitions Systems/Ordinance Technology
29.0499,"Military Systems and Maintenance Technology, Other"
29.9999,"Military Technologies and Applied Sciences, Other"
30,"Multi-/Interdisciplinary Studies, General"
30.0101,Biological and Physical Sciences
30.0501,Peace Studies and Conflict Resolution
30.0601,Systems Science and Theory
30.0801,Mathematics and Computer Science
30.1001,Biopsychology
30.1101,Gerontology
30.1201,Historic Preservation and Conservation
30.1202,Cultural Resource Management and Policy Analysis
30.1299,"Historic Preservation and Conservation, Other"
30.1301,Medieval and Renaissance Studies
30.1401,Museology/Museum Studies
30.1501,"Science, Technology and Society"
30.1601,Accounting and Computer Science
30.1701,Behavioral Sciences
30.1801,Natural Sciences
30.1901,Nutrition Sciences
30.2001,International/Global Studies
30.2101,Holocaust and Related Studies
30.2201,Ancient Studies/Civilization
30.2202,"Classical, Ancient Mediterranean and Near Eastern Studies and Archaeology"
30.2301,Intercultural/Multicultural and Diversity Studies
30.2501,Cognitive Science
30.2601,Cultural Studies/Critical Theory and Analysis
30.2701,Human Biology
30.2801,Dispute Resolution
30.2901,Maritime Studies
30.3001,Computational Science
30.3101,Human Computer Interaction
30.3201,Marine Sciences
30.3301,Sustainability Studies
30.9999,"Multi-/Interdisciplinary Studies, Other"
31.0101,"Parks, Recreation and Leisure Studies"
31.0301,"Parks, Recreation and Leisure Facilities Management, General"
31.0302,Golf Course Operation and Grounds Management
31.0399,"Parks, Recreation and Leisure Facilities Management, Other"
31.0501,"Health and Physical Education/Fitness, General"
31.0504,Sport and Fitness Administration/Management
31.0505,Kinesiology and Exercise Science
31.0507,Physical Fitness Technician
31.0508,Sports Studies
31.0599,"Health and Physical Education/Fitness, Other"
31.0601,Outdoor Education
31.9999,"Parks, Recreation, Leisure, and Fitness Studies, Other"
38.0001,"Philosophy and Religious Studies, General"
38.0101,Philosophy
38.0102,Logic
38.0103,Ethics
38.0104,Applied and Professional Ethics
38.0199,"Philosophy, Other"
38.0201,Religion/Religious Studies
38.0202,Buddhist Studies
38.0203,Christian Studies
38.0205,Islamic Studies
38.0206,Jewish/Judaic Studies
38.0299,"Religion/Religious Studies, Other"
38.9999,"Philosophy and Religious Studies, Other"
39.0201,Bible/Biblical Studies
39.0301,Missions/Missionary Studies and Missiology
39.0401,Religious Education
39.0501,Religious/Sacred Music
39.0601,Theology/Theological Studies
39.0602,Divinity/Ministry
39.0604,Pre-Theology/Pre-Ministerial Studies
39.0605,Rabbinical Studies
39.0606,Talmudic Studies
39.0699,"Theological and Ministerial Studies, Other"
39.0701,Pastoral Studies/Counseling
39.0702,Youth Ministry
39.0703,Urban Ministry
39.0704,Women's Ministry
39.0705,Lay Ministry
39.0799,"Pastoral Counseling and Specialized Ministries, Other"
39.9999,"Theology and Religious Vocations, Other"
40.0101,Physical Sciences
40.0201,Astronomy
40.0202,Astrophysics
40.0203,Planetary Astronomy and Science
40.0299,"Astronomy and Astrophysics, Other"
40.0401,"Atmospheric Sciences and Meteorology, General"
40.0402,Atmospheric Chemistry and Climatology
40.0403,Atmospheric Physics and Dynamics
40.0404,Meteorology
40.0499,"Atmospheric Sciences and Meteorology, Other"
40.0501,"Chemistry, General"
40.0502,Analytical Chemistry
40.0503,Inorganic Chemistry
40.0504,Organic Chemistry
40.0506,Physical Chemistry
40.0507,Polymer Chemistry
40.0508,Chemical Physics
40.0509,Environmental Chemistry
40.051,Forensic Chemistry
40.0511,Theoretical Chemistry
40.0599,"Chemistry, Other"
40.0601,"Geology/Earth Science, General"
40.0602,Geochemistry
40.0603,Geophysics and Seismology
40.0604,Paleontology
40.0605,Hydrology and Water Resources Science
40.0607,"Oceanography, Chemical and Physical"
40.0699,"Geological and Earth Sciences/Geosciences, Other"
40.0801,"Physics, General"
40.0802,Atomic/Molecular Physics
40.0804,Elementary Particle Physics
40.0806,Nuclear Physics
40.0807,Optics/Optical Sciences
40.0808,Condensed Matter and Materials Physics
40.0809,Acoustics
40.081,Theoretical and Mathematical Physics
40.0899,"Physics, Other"
40.1001,Materials Science
40.1002,Materials Chemistry
40.9999,"Physical Sciences, Other"
40.1099,"Materials Sciences, Other"
41,"Science Technologies/Technicians, General"
41.0101,Biology Technician/Biotechnology Laboratory Technician
41.0204,Industrial Radiologic Technology/Technician
41.0205,Nuclear/Nuclear Power Technology/Technician
41.0299,"Nuclear and Industrial Radiologic Technologies/Technicians, Other"
41.0301,Chemical Technology/Technician
41.0303,Chemical Process Technology
41.0399,"Physical Science Technologies/Technicians, Other"
41.9999,"Science Technologies/Technicians, Other"
42.0101,"Psychology, General"
42.2701,Cognitive Psychology and Psycholinguistics
42.2702,Comparative Psychology
42.2703,Developmental and Child Psychology
42.2704,Experimental Psychology
42.2705,Personality Psychology
42.2706,Physiological Psychology/Psychobiology
42.2707,Social Psychology
42.2708,Psychometrics and Quantitative Psychology
42.2709,Psychopharmacology
42.2799,"Research and Experimental Psychology, Other"
42.2801,Clinical Psychology
42.2802,Community Psychology
42.2803,Counseling Psychology
42.2804,Industrial and Organizational Psychology
42.2805,School Psychology
42.2806,Educational Psychology
42.2807,Clinical Child Psychology
42.2808,Environmental Psychology
42.2809,Geropsychology
42.281,Health/Medical Psychology
42.2811,Family Psychology
42.2812,Forensic Psychology
42.2813,Applied Psychology
42.2814,Applied Behavior Analysis
42.2899,"Clinical, Counseling and Applied Psychology, Other"
42.9999,"Psychology, Other"
43.0102,Corrections
43.0103,Criminal Justice/Law Enforcement Administration
43.0104,Criminal Justice/Safety Studies
43.0106,Forensic Science and Technology
43.0107,Criminal Justice/Police Science
43.0109,Security and Loss Prevention Services
43.011,Juvenile Corrections
43.0111,Criminalistics and Criminal Science
43.0112,Securities Services Administration/Management
43.0113,Corrections Administration
43.0114,Law Enforcement Investigation and Interviewing
43.0115,Law Enforcement Record-Keeping and Evidence Management
43.0116,Cyber/Computer Forensics and Counterterrorism
43.0117,Financial Forensics and Fraud Investigation
43.0118,Law Enforcement Intelligence Analysis
43.0119,Critical Incident Response/Special Police Operations
43.012,Protective Services Operations
43.0199,"Corrections and Criminal Justice, Other"
43.0201,Fire Prevention and Safety Technology/Technician
43.0202,Fire Services Administration
43.0203,Fire Science/Fire-fighting
43.0204,Fire Systems Technology
43.0205,Fire/Arson Investigation and Prevention
43.0206,Wildland/Forest Firefighting and Investigation
43.0299,"Fire Protection, Other"
43.0301,Homeland Security
43.0302,Crisis/Emergency/Disaster Management
43.0303,Critical Infrastructure Protection
43.0304,Terrorism and Counterterrorism Operations
43.0399,"Homeland Security, Other"
43.9999,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other"
44,"Human Services, General"
44.0201,Community Organization and Advocacy
44.0401,Public Administration
44.0501,"Public Policy Analysis, General"
44.0502,Education Policy Analysis
44.0503,Health Policy Analysis
44.0504,International Policy Analysis
44.0599,"Public Policy Analysis, Other"
44.0701,Social Work
44.0702,Youth Services/Administration
44.0799,"Social Work, Other"
44.9999,"Public Administration and Social Service Professions, Other"
45.0101,"Social Sciences, General"
45.0102,Research Methodology and Quantitative Methods
45.0201,Anthropology
45.0202,Physical and Biological Anthropology
45.0203,Medical Anthropology
45.0204,Cultural Anthropology
45.0299,"Anthropology, Other"
45.0301,Archeology
45.0401,Criminology
45.0501,Demography and Population Studies
45.0601,"Economics, General"
45.0602,Applied Economics
45.0603,Econometrics and Quantitative Economics
45.0604,Development Economics and International Development
45.0605,International Economics
45.0699,"Economics, Other"
45.0701,Geography
45.0702,Geographic Information Science and Cartography
45.0799,"Geography, Other"
45.0901,International Relations and Affairs
45.0902,National Security Policy Studies
45.0999,"International Relations and National Security Studies, Other"
45.1001,"Political Science and Government, General"
45.1002,American Government and Politics (United States
45.1004,Political Economy
45.1099,"Political Science and Government, Other"
45.1101,Sociology
45.1201,Urban Studies/Affairs
45.1301,Sociology and Anthropology
45.1401,Rural Sociology
45.9999,"Social Sciences, Other"
46,"Construction Trades, General"
46.0101,Mason/Masonry
46.0201,Carpentry/Carpenter
46.0301,"Electrical and Power Transmission Installation/Installer, General"
46.0302,Electrician
46.0303,Lineworker
46.0399,"Electrical and Power Transmission Installers, Other"
46.0401,Building/Property Maintenance
46.0402,Concrete Finishing/Concrete Finisher
46.0403,Building/Home/Construction Inspection/Inspector
46.0404,Drywall Installation/Drywaller
46.0406,Glazier
46.0408,Painting/Painter and Wall Coverer
46.041,Roofer
46.0411,Metal Building Assembly/Assembler
46.0412,Building/Construction Site Management/Manager
46.0413,"Carpet, Floor, and Tile Worker"
46.0414,Insulator
46.0415,Building Construction Technology
46.0499,"Building/Construction Finishing, Management, and Inspection, Other"
46.0502,Pipefitting/Pipefitter and Sprinkler Fitter
46.0503,Plumbing Technology/Plumber
46.0504,Well Drilling/Driller
46.0505,Blasting/Blaster
46.0599,"Plumbing and Related Water Supply Services, Other"
46.9999,"Construction Trades, Other"
47,"Mechanics and Repairers, General"
47.0101,"Electrical/Electronics Equipment Installation and Repair, General"
47.0102,Business Machine Repair
47.0103,Communications Systems Installation and Repair Technology
47.0104,Computer Installation and Repair Technology/Technician
47.0105,Industrial Electronics Technology/Technician
47.0106,Appliance Installation and Repair Technology/Technician
47.011,"Security System Installation, Repair, and Inspection Technology/Technician"
47.0199,"Electrical/Electronics Maintenance and Repair Technology, Other"
47.0201,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/"
47.0302,Heavy Equipment Maintenance Technology/Technician
47.0303,Industrial Mechanics and Maintenance Technology
47.0399,"Heavy/Industrial Equipment Maintenance Technologies, Other"
47.0402,Gunsmithing/Gunsmith
47.0403,Locksmithing and Safe Repair
47.0404,Musical Instrument Fabrication and Repair
47.0408,Watchmaking and Jewelrymaking
47.0409,Parts and Warehousing Operations and Maintenance Technology/Technician
47.0499,"Precision Systems Maintenance and Repair Technologies, Other"
47.06,"Vehicle Maintenance and Repair Technologies, General"
47.0603,Autobody/Collision and Repair Technology/Technician
47.0604,Automobile/Automotive Mechanics Technology/Technician
47.0605,Diesel Mechanics Technology/Technician
47.0606,Small Engine Mechanics and Repair Technology/Technician
47.0607,Airframe Mechanics and Aircraft Maintenance Technology/Technician
47.0608,Aircraft Powerplant Technology/Technician
47.0609,Avionics Maintenance Technology/Technician
47.0611,Motorcycle Maintenance and Repair Technology/Technician
47.0612,Vehicle Emissions Inspection and Maintenance Technology/Technician
47.0613,Medium/Heavy Vehicle and Truck Technology/Technician
47.0614,Alternative Fuel Vehicle Technology/Technician
47.0615,Engine Machinist
47.0616,Marine Maintenance/Fitter and Ship Repair Technology/Technician
47.0617,High Performance and Custom Engine Technician/Mechanic
47.0699,"Vehicle Maintenance and Repair Technologies, Other"
47.9999,"Mechanic and Repair Technologies/Technicians, Other"
48,"Precision Production Trades, General"
48.0303,Upholstery/Upholsterer
48.0304,"Shoe, Boot and Leather Repair"
48.0501,Machine Tool Technology/Machinist
48.0503,Machine Shop Technology/Assistant
48.0506,Sheet Metal Technology/Sheetworking
48.0507,Tool and Die Technology/Technician
48.0508,Welding Technology/Welder
48.0509,Ironworking/Ironworker
48.051,Computer Numerically Controlled (CNC
48.0511,Metal Fabricator
48.0599,"Precision Metal Working, Other"
48.0701,"Woodworking, General"
48.0702,Furniture Design and Manufacturing
48.0703,Cabinetmaking and Millwork
48.0799,"Woodworking, Other"
48.0801,Boilermaking/Boilermaker
48.9999,"Precision Production, Other"
49.0101,"Aeronautics/Aviation/Aerospace Science and Technology, General"
49.0102,Airline/Commercial/Professional Pilot and Flight Crew
49.0104,Aviation/Airway Management and Operations
49.0105,Air Traffic Controller
49.0106,Airline Flight Attendant
49.0108,Flight Instructor
49.0199,"Air Transportation, Other"
49.0202,Construction/Heavy Equipment/Earthmoving Equipment Operation
49.0205,Truck and Bus Driver/Commercial Vehicle Operator and Instructor
49.0206,Mobil Crane Operation/Operator
49.0207,Flagging and Traffic Control
49.0208,Railroad and Railway Transportation
49.0299,"Ground Transportation, Other"
49.0304,"Diver, Professional and Instructor"
49.0309,Marine Science/Merchant Marine Officer
49.0399,"Marine Transportation, Other"
49.9999,"Transportation and Materials Moving, Other"
50.0101,"Visual and Performing Arts, General"
50.0102,Digital Arts
50.0201,"Crafts/Craft Design, Folk Art and Artisanry"
50.0301,"Dance, General"
50.0302,Ballet
50.0399,"Dance, Other"
50.0401,"Design and Visual Communications, General"
50.0402,Commercial and Advertising Art
50.0404,Industrial and Product Design
50.0406,Commercial Photography
50.0407,Fashion/Apparel Design
50.0408,Interior Design
50.0409,Graphic Design
50.041,Illustration
50.0411,Game and Interactive Media Design
50.0499,"Design and Applied Arts, Other"
50.0501,"Drama and Dramatics/Theatre Arts, General"
50.0502,Technical Theatre/Theatre Design and Technology
50.0504,Playwriting and Screenwriting
50.0505,"Theatre Literature, History and Criticism"
50.0506,Acting
50.0507,Directing and Theatrical Production
50.0509,Musical Theatre
50.051,Costume Design
50.0599,"Dramatic/Theatre Arts and Stagecraft, Other"
50.0601,Film/Cinema/Video Studies
50.0602,Cinematography and Film/Video Production
50.0605,Photography
50.0607,Documentary Production
50.0699,"Film/Video and Photographic Arts, Other"
50.0701,"Art/Art Studies, General"
50.0702,"Fine/Studio Arts, General"
50.0703,"Art History, Criticism and Conservation"
50.0705,Drawing
50.0706,Intermedia/Multimedia
50.0708,Painting
50.0709,Sculpture
50.071,Printmaking
50.0711,Ceramic Arts and Ceramics
50.0712,"Fiber, Textile and Weaving Arts"
50.0713,Metal and Jewelry Arts
50.0799,"Fine Arts and Art Studies, Other"
50.0901,"Music, General"
50.0902,"Music History, Literature, and Theory"
50.0903,"Music Performance, General"
50.0904,Music Theory and Composition
50.0905,Musicology and Ethnomusicology
50.0906,Conducting
50.0907,Keyboard Instruments
50.0908,Voice and Opera
50.091,Jazz/Jazz Studies
50.0911,Stringed Instruments
50.0912,Music Pedagogy
50.0913,Music Technology
50.0914,Brass Instruments
50.0915,Woodwind Instruments
50.0916,Percussion Instruments
50.0999,"Music, Other"
50.1001,"Arts, Entertainment,and Media Management, General"
50.1002,Fine and Studio Arts Management
50.1003,Music Management
50.1004,Theatre/Theatre Arts Management
50.1099,"Arts, Entertainment, and Media Management, Other"
50.9999,"Visual and Performing Arts, Other"
51,"Health Services/Allied Health/Health Sciences, General"
51.0001,"Health and Wellness, General"
51.0101,Chiropractic
51.0201,"Communication Sciences and Disorders, General"
51.0202,Audiology/Audiologist
51.0203,Speech-Language Pathology/Pathologist
51.0204,Audiology/Audiologist and Speech-Language Pathology/Pathologist
51.0299,"Communication Disorders Sciences and Services, Other"
51.0401,Dentistry
51.0501,"Dental Clinical Sciences, General"
51.0502,Advanced General Dentistry
51.0503,Oral Biology and Oral and Maxillofacial Pathology
51.0504,Dental Public Health and Education
51.0505,Dental Materials
51.0506,Endodontics/Endodontology
51.0507,Oral/Maxillofacial Surgery
51.0508,Orthodontics/Orthodontology
51.0509,Pediatric Dentistry/Pedodontics
51.051,Periodontics/Periodontology
51.0511,Prosthodontics/Prosthodontology
51.0599,"Advanced/Graduate Dentistry and Oral Sciences, Other"
51.0601,Dental Assisting/Assistant
51.0602,Dental Hygiene/Hygienist
51.0603,Dental Laboratory Technology/Technician
51.0699,"Dental Services and Allied Professions, Other"
51.0701,Health/Health Care Administration/Management
51.0702,Hospital and Health Care Facilities Administration/Management
51.0703,Health Unit Coordinator/Ward Clerk
51.0704,Health Unit Manager/Ward Supervisor
51.0705,Medical Office Management/Administration
51.0706,Health Information/Medical Records Administration/Administrator
51.0707,Health Information/Medical Records Technology/Technician
51.0708,Medical Transcription/Transcriptionist
51.0709,Medical Office Computer Specialist/Assistant
51.071,Medical Office Assistant/Specialist
51.0711,Medical/Health Management and Clinical Assistant/Specialist
51.0712,Medical Reception/Receptionist
51.0713,Medical Insurance Coding Specialist/Coder
51.0714,Medical Insurance Specialist/Medical Biller
51.0715,Health/Medical Claims Examiner
51.0716,Medical Administrative/Executive Assistant and Medical Secretary
51.0717,Medical Staff Services Technology/Technician
51.0718,Long Term Care Administration/Management
51.0719,Clinical Research Coordinator
51.0799,"Health and Medical Administrative Services, Other"
51.0801,Medical/Clinical Assistant
51.0802,Clinical/Medical Laboratory Assistant
51.0803,Occupational Therapist Assistant
51.0805,Pharmacy Technician/Assistant
51.0806,Physical Therapy Technician/Assistant
51.0808,Veterinary/Animal Health Technology/Technician and Veterinary Assistant
51.0809,Anesthesiologist Assistant
51.081,Emergency Care Attendant (EMT Ambulance)
51.0811,Pathology/Pathologist Assistant
51.0812,Respiratory Therapy Technician/Assistant
51.0813,Chiropractic Assistant/Technician
51.0814,Radiologist Assistant
51.0815,Lactation Consultant
51.0816,Speech-Language Pathology Assistant
51.0899,"Allied Health and Medical Assisting Services, Other"
51.0901,Cardiovascular Technology/Technologist
51.0902,Electrocardiograph Technology/Technician
51.0903,Electroneurodiagnostic/Electroencephalographic Technology/Technologist
51.0904,Emergency Medical Technology/Technician (EMT Paramedic)
51.0905,Nuclear Medical Technology/Technologist
51.0906,Perfusion Technology/Perfusionist
51.0907,Medical Radiologic Technology/Science - Radiation Therapist
51.0908,Respiratory Care Therapy/Therapist
51.0909,Surgical Technology/Technologist
51.091,Diagnostic Medical Sonography/Sonographer and Ultrasound Technician
51.0911,Radiologic Technology/Science - Radiographer
51.0912,Physician Assistant
51.0913,Athletic Training/Trainer
51.0914,Gene/Genetic Therapy
51.0915,Cardiopulmonary Technology/Technologist
51.0916,Radiation Protection/Health Physics Technician
51.0917,Polysomnography
51.0918,Hearing Instrument Specialist
51.0919,Mammography Technician/Technology
51.092,Magnetic Resonance Imaging (MRI) Technology/Technician
51.0999,"Allied Health Diagnostic, Intervention, and Treatment Professions, Other"
51.1001,Blood Bank Technology Specialist
51.1002,Cytotechnology/Cytotechnologist
51.1003,Hematology Technology/Technician
51.1004,Clinical/Medical Laboratory Technician
51.1005,Clinical Laboratory Science/Medical Technology/Technologist
51.1006,Ophthalmic Laboratory Technology/Technician
51.1007,Histologic Technology/Histotechnologist
51.1008,Histologic Technician
51.1009,Phlebotomy Technician/Phlebotomist
51.101,Cytogenetics/Genetics/Clinical Genetics Technology/Technologist
51.1011,Renal/Dialysis Technologist/Technician
51.1012,Sterile Processing Technology/Technician
51.1099,"Clinical/Medical Laboratory Science and Allied Professions, Other"
51.1101,Pre-Dentistry Studies
51.1102,Pre-Medicine/Pre-Medical Studies
51.1103,Pre-Pharmacy Studies
51.1104,Pre-Veterinary Studies
51.1105,Pre-Nursing Studies
51.1106,Pre-Chiropractic Studies
51.1107,Pre-Occupational Therapy Studies
51.1108,Pre-Optometry Studies
51.1109,Pre-Physical Therapy Studies
51.1199,"Health/Medical Preparatory Programs, Other"
51.1201,Medicine
51.1401,Medical Scientist
51.1501,Substance Abuse/Addiction Counseling
51.1502,Psychiatric/Mental Health Services Technician
51.1503,Clinical/Medical Social Work
51.1504,Community Health Services/Liaison/Counseling
51.1505,Marriage and Family Therapy/Counseling
51.1506,Clinical Pastoral Counseling/Patient Counseling
51.1507,Psychoanalysis and Psychotherapy
51.1508,Mental Health Counseling/Counselor
51.1509,Genetic Counseling/Counselor
51.1599,"Mental and Social Health Services and Allied Professions, Other"
51.1701,Optometry
51.1801,Opticianry/Ophthalmic Dispensing Optician
51.1802,Optometric Technician/Assistant
51.1803,Ophthalmic Technician/Technologist
51.1804,Orthoptics/Orthoptist
51.1899,"Ophthalmic and Optometric Support Services and Allied Professions, Other"
51.1901,Osteopathic Medicine/Osteopathy
51.2001,Pharmacy
51.2002,Pharmacy Administration and Pharmacy Policy and Regulatory Affairs
51.2003,Pharmaceutics and Drug Design
51.2004,Medicinal and Pharmaceutical Chemistry
51.2005,Natural Products Chemistry and Pharmacognosy
51.2006,Clinical and Industrial Drug Development
51.2007,Pharmacoeconomics/Pharmaceutical Economics
51.2008,"Clinical, Hospital, and Managed Care Pharmacy"
51.2009,Industrial and Physical Pharmacy and Cosmetic Sciences
51.201,Pharmaceutical Sciences
51.2011,Pharmaceutical Marketing and Management
51.2099,"Pharmacy, Pharmaceutical Sciences, and Administration, Other"
51.2101,Podiatric Medicine/Podiatry
51.2201,"Public Health, General"
51.2202,Environmental Health
51.2205,Health/Medical Physics
51.2206,Occupational Health and Industrial Hygiene
51.2207,Public Health Education and Promotion
51.2208,Community Health and Preventive Medicine
51.2209,Maternal and Child Health
51.221,International Public Health/International Health
51.2211,Health Services Administration
51.2212,Behavioral Aspects of Health
51.2299,"Public Health, Other"
51.2301,Art Therapy/Therapist
51.2302,Dance Therapy/Therapist
51.2305,Music Therapy/Therapist
51.2306,Occupational Therapy/Therapist
51.2307,Orthotist/Prosthetist
51.2308,Physical Therapy/Therapist
51.2309,Therapeutic Recreation/Recreational Therapy
51.231,Vocational Rehabilitation Counseling/Counselor
51.2311,Kinesiotherapy/Kinesiotherapist
51.2312,Assistive/Augmentative Technology and Rehabilitation Engineering
51.2313,Animal-Assisted Therapy
51.2314,Rehabilitation Science
51.2399,"Rehabilitation and Therapeutic Professions, Other"
51.2401,Veterinary Medicine
51.2501,"Veterinary Sciences/Veterinary Clinical Sciences, General"
51.2503,Veterinary Physiology
51.2504,Veterinary Microbiology and Immunobiology
51.2505,Veterinary Pathology and Pathobiology
51.2507,Large Animal/Food Animal and Equine Surgery and Medicine
51.2508,Small/Companion Animal Surgery and Medicine
51.2509,Comparative and Laboratory Animal Medicine
51.251,"Veterinary Preventive Medicine, Epidemiology, and Public Health"
51.2511,Veterinary Infectious Diseases
51.2601,Health Aide
51.2602,Home Health Aide/Home Attendant
51.2603,Medication Aide
51.2604,Rehabilitation Aide
51.2699,"Health Aides/Attendants/Orderlies, Other"
51.2703,Medical Illustration/Medical Illustrator
51.2706,Medical Informatics
51.2799,"Medical Illustration and Informatics, Other"
51.3101,Dietetics/Dietitian
51.3102,Clinical Nutrition/Nutritionist
51.3103,Dietetic Technician
51.3104,Dietitian Assistant
51.3199,"Dietetics and Clinical Nutrition Services, Other"
51.3201,Bioethics/Medical Ethics
51.33,"Alternative and Complementary Medicine and Medical Systems, General"
51.3301,Acupuncture and Oriental Medicine
51.3302,Traditional Chinese Medicine and Chinese Herbology
51.3303,Naturopathic Medicine/Naturopathy
51.3304,Homeopathic Medicine/Homeopathy
51.3305,Ayurvedic Medicine/Ayurveda
51.3306,Holistic Health
51.3399,"Alternative and Complementary Medicine and Medical Systems, Other"
51.3401,Direct Entry Midwifery
51.3499,"Alternative and Complementary Medical Support Services, Other"
51.3501,Massage Therapy/Therapeutic Massage
51.3502,Asian Bodywork Therapy
51.3503,Somatic Bodywork
51.3599,"Somatic Bodywork and Related Therapeutic Services, Other"
51.3601,Movement Therapy and Movement Education
51.3602,Yoga Teacher Training/Yoga Therapy
51.3603,Hypnotherapy/Hypnotherapist
51.3699,"Movement and Mind-Body Therapies and Education, Other"
51.3701,Aromatherapy
51.3702,Herbalism/Herbalist
51.3703,Polarity Therapy
51.3704,Reiki
51.3799,"Energy and Biologically Based Therapies, Other"
51.3801,Registered Nursing/Registered Nurse
51.3802,Nursing Administration
51.3803,Adult Health Nurse/Nursing
51.3804,Nurse Anesthetist
51.3805,Family Practice Nurse/Nursing
51.3806,Maternal/Child Health and Neonatal Nurse/Nursing
51.3807,Nurse Midwife/Nursing Midwifery
51.3808,Nursing Science
51.3809,Pediatric Nurse/Nursing
51.381,Psychiatric/Mental Health Nurse/Nursing
51.3811,Public Health/Community Nurse/Nursing
51.3812,Perioperative/Operating Room and Surgical Nurse/Nursing
51.3813,Clinical Nurse Specialist
51.3814,Critical Care Nursing
51.3815,Occupational and Environmental Health Nursing
51.3816,Emergency Room/Trauma Nursing
51.3817,Nursing Education
51.3818,Nursing Practice
51.3819,Palliative Care Nursing
51.382,Clinical Nurse Leader
51.3821,Geriatric Nurse/Nursing
51.3822,Women's Health Nurse/Nursing
51.3899,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursin"
51.3901,Licensed Practical/Vocational Nurse Training
51.3902,Nursing Assistant/Aide and Patient Care Assistant/Aide
51.3999,"Practical Nursing, Vocational Nursing and Nursing Assistants, Other"
51.9999,"Health Professions and Related Clinical Sciences, Other"
52.0101,"Business/Commerce, General"
52.0201,"Business Administration and Management, General"
52.0202,"Purchasing, Procurement/Acquisitions and Contracts Management"
52.0203,"Logistics, Materials, and Supply Chain Management"
52.0204,Office Management and Supervision
52.0205,Operations Management and Supervision
52.0206,Non-Profit/Public/Organizational Management
52.0207,Customer Service Management
52.0208,E-Commerce/Electronic Commerce
52.0209,Transportation/Mobility Management
52.021,Research and Development Management
52.0211,Project Management
52.0212,Retail Management
52.0213,Organizational Leadership
52.0299,"Business Administration, Management and Operations, Other"
52.0301,Accounting
52.0302,Accounting Technology/Technician and Bookkeeping
52.0303,Auditing
52.0304,Accounting and Finance
52.0305,Accounting and Business/Management
52.0399,"Accounting and Related Services, Other"
52.0401,"Administrative Assistant and Secretarial Science, General"
52.0402,Executive Assistant/Executive Secretary
52.0406,Receptionist
52.0407,Business/Office Automation/Technology/Data Entry
52.0408,General Office Occupations and Clerical Services
52.0409,"Parts, Warehousing, and Inventory Management Operations"
52.041,"Traffic, Customs, and Transportation Clerk/Technician"
52.0411,Customer Service Support/Call Center/Teleservice Operation
52.0499,"Business Operations Support and Secretarial Services, Other"
52.0501,Business/Corporate Communications
52.0601,Business/Managerial Economics
52.0701,Entrepreneurship/Entrepreneurial Studies
52.0703,Small Business Administration/Management
52.0799,"Entrepreneurial and Small Business Operations, Other"
52.0801,"Finance, General"
52.0803,Banking and Financial Support Services
52.0804,Financial Planning and Services
52.0806,International Finance
52.0807,Investments and Securities
52.0808,Public Finance
52.0809,Credit Management
52.0899,"Finance and Financial Management Services, Other"
52.0901,"Hospitality Administration/Management, General"
52.0903,Tourism and Travel Services Management
52.0904,Hotel/Motel Administration/Management
52.0905,Restaurant/Food Services Management
52.0906,Resort Management
52.0907,Meeting and Event Planning
52.0908,Casino Management
52.0909,"Hotel, Motel, and Restaurant Management"
52.0999,"Hospitality Administration/Management, Other"
52.1001,"Human Resources Management/Personnel Administration, General"
52.1002,Labor and Industrial Relations
52.1003,Organizational Behavior Studies
52.1004,Labor Studies
52.1005,Human Resources Development
52.1099,"Human Resources Management and Services, Other"
52.1101,International Business/Trade/Commerce
52.1201,"Management Information Systems, General"
52.1206,Information Resources Management
52.1207,Knowledge Management
52.1299,"Management Information Systems and Services, Other"
52.1301,Management Science
52.1302,Business Statistics
52.1304,Actuarial Science
52.1399,"Management Sciences and Quantitative Methods, Other"
52.1401,"Marketing/Marketing Management, General"
52.1402,Marketing Research
52.1403,International Marketing
52.1499,"Marketing, Other"
52.1501,Real Estate
52.1601,Taxation
52.1701,Insurance
52.1801,"Sales, Distribution, and Marketing Operations, General"
52.1802,Merchandising and Buying Operations
52.1803,Retailing and Retail Operations
52.1804,Selling Skills and Sales Operations
52.1899,"General Merchandising, Sales, and Related Marketing Operations, Other"
52.1901,Auctioneering
52.1902,Fashion Merchandising
52.1903,Fashion Modeling
52.1904,Apparel and Accessories Marketing Operations
52.1905,Tourism and Travel Services Marketing Operations
52.1906,Tourism Promotion Operations
52.1907,Vehicle and Vehicle Parts and Accessories Marketing Operations
52.1908,Business and Personal/Financial Services Marketing Operations
52.1909,Special Products Marketing Operations
